2024-04-11 20:33:32:435, -0.134 0.248 176.79
2024-04-11 20:39:16:711, 0.23 -0.897 174.842
2024-04-11 20:39:16:712, -0.415 -0.257 173.411
2024-04-11 20:39:16:714, 0.242 0.573 176.801
2024-04-11 20:39:16:715, 0.354 0.945 171.655
2024-04-11 20:39:16:716, 0.669 0.371 174.528
2024-04-11 20:39:16:716, -0.204 0.352 170.252
2024-04-11 20:39:16:717, -0.378 0.443 179.297
2024-04-11 20:39:16:717, -0.098 -0.942 177.188
2024-04-11 20:39:16:719, 0.834 0.556 178.329
2024-04-11 20:39:16:720, 0.536 0.974 175.529
2024-04-11 20:39:16:721, -0.075 -0.992 173.077
2024-04-11 20:39:16:721, -0.048 -0.51 174.284
2024-04-11 20:39:16:721, -0.488 0.558 170.511
2024-04-11 20:39:16:722, -0.71 -0.136 171.581
2024-04-11 20:39:16:722, -0.193 0.624 170.498
2024-04-11 20:39:16:723, -0.07 -0.053 173.695
2024-04-11 20:39:16:733, 0.258 0.687 171.694
2024-04-11 20:39:16:734, -0.253 0.014 175.447
2024-04-11 20:39:16:735, -0.54 -0.844 176.743
2024-04-11 20:39:16:738, -0.069 0.556 179.665
2024-04-11 20:39:16:739, -0.822 -0.584 178.672
2024-04-11 20:39:16:741, -0.712 -0.442 179.472
2024-04-11 20:39:16:745, 0.009 0.099 171.116
2024-04-11 20:39:16:747, 0.119 0.022 177.371
2024-04-11 20:39:16:748, 0.859 0.034 175.289
2024-04-11 20:39:16:749, -0.407 -0.463 171.208
2024-04-11 20:39:16:750, -0.963 0.652 176.818
2024-04-11 20:39:16:750, 0.475 0.599 171.582
2024-04-11 20:39:16:751, -0.335 0.739 174.625
2024-04-11 20:39:16:751, 0.437 0.631 173.817
